16/04/2026, 20:32:12|dog|6|WALL|5.75s
16/04/2026, 20:32:28|lol|5|LAVA|7.50s
16/04/2026, 20:53:47|lol|1|WALL|1.50s
16/04/2026, 20:53:56|Secreton|1|WALL|2.25s
16/04/2026, 20:54:04|Secre|1|WALL|1.50s
16/04/2026, 20:54:17|Lokesh|1|LAVA|6.50s
16/04/2026, 20:54:24|Lokesh|2|LAVA|4.75s
16/04/2026, 20:54:28|Lokesh|0|ZERO_HEALTH|2.50s
16/04/2026, 20:54:35|Gamma|2|LAVA|1.25s
16/04/2026, 20:57:18|lla a|1|LAVA|2.75s
16/04/2026, 21:13:46|I am here to eat|0.5|LAVA|5.00s
16/04/2026, 21:14:54|I am here to eat|0|ZERO_HEALTH|12.50s
16/04/2026, 21:14:59|I am here to eat|1|LAVA|3.25s
16/04/2026, 21:15:03|I am here to eat|7|LAVA|3.75s
16/04/2026, 21:15:11|I am here to eat|0|ZERO_HEALTH|6.75s
16/04/2026, 21:18:48|I am here to eat|1|LAVA|0.75s
16/04/2026, 21:19:03|Snake|1|LAVA|1.25s
17/04/2026, 11:08:15|Snake|1|WALL|6.00s
22/04/2026, 17:01:02|Hello|8|LAVA|13.00s
22/04/2026, 17:01:34|Secreton|26|WALL|22.75s
22/04/2026, 17:02:00|llama|1|WALL|2.25s
25/04/2026, 14:20:39|Haha|0|ZERO_HEALTH|3.75s
25/04/2026, 14:20:47|Haha|0|ZERO_HEALTH|2.50s
25/04/2026, 14:21:00|Haha|0|ZERO_HEALTH|10.00s
25/04/2026, 14:21:15|Haha|1|LAVA|1.75s
25/04/2026, 15:34:46|Whatever works works|18|LAVA|32.50s
25/04/2026, 15:35:00|Kanye|6|LAVA|6.25s
25/04/2026, 15:36:24|Kanye|88|LAVA|80.75s
